seed,validation_mse,validation_mae,test_mse,test_mae,test_rmse,best_epoch,parameters
2021,0.42660568023971085,0.3050058736421065,0.17420544562612533,0.23332795043193194,0.41737925873972864,6,64704
2022,0.4244149060113183,0.3053809393769758,0.17520844517272577,0.2367544422855929,0.41857907875660216,5,64704
2023,0.42655575281865205,0.30540481450967905,0.17449864477741173,0.23450932062675278,0.41773034936117787,6,64704
