horizon,model,seeds,validation_MSE_mean,validation_MSE_std,test_MSE_mean,test_MSE_std,test_MAE_mean,test_MAE_std,parameters
96,ConsensusRawRevIN,3,0.6414175628654871,0.006620011316961525,0.37320104021892664,0.0054965509552097535,0.39475058443441213,0.005408390391898371,129422
96,CrossPeriodDaily,3,0.6468533684087222,0.001389016433545029,0.3732956665009254,0.001520086743442422,0.3957158702440447,0.0020145048336769823,64760
96,DLinear,3,0.6419225472558312,0.006038404025004099,0.3811325360562483,0.012862163642430478,0.4052116730789602,0.015507003555878382,64704
96,LowRankDLinear,3,0.6674776374700281,0.0002695849823122621,0.3745268314960145,0.004193671672191154,0.3972925480899336,0.004485709353910268,70752
96,RevIN-DLinear,3,0.6734875025577394,0.0013237905607007877,0.3711088851630058,0.0013126021218760608,0.39208967714780374,0.0009278773125875688,64718
192,ConsensusRawRevIN,3,0.8596730711363035,0.004661793114359523,0.40604396609469334,0.005891838642483342,0.4147089031038161,0.0051152195497189655,258830
192,DLinear,3,0.860354829863775,0.004365237627259287,0.41459546937799174,0.00995281268401876,0.4248259479371308,0.010200134047526047,129408
192,RevIN-DLinear,3,0.9201786936723921,0.0013837579066391852,0.40513270878567315,0.00108582564778969,0.4123989345614842,0.0007964603639483278,129422
336,ConsensusRawRevIN,3,1.042007464149882,0.008116928988670192,0.4510561144765267,0.03708622729222675,0.44655861889953957,0.029432166217729507,452942
336,DLinear,3,1.04481058634211,0.005377420380805274,0.4893735746142903,0.08037062444943872,0.4806880567880951,0.06214273839426144,226464
336,RevIN-DLinear,3,1.150158240613781,0.009072534981543878,0.43163956194136516,0.003582207101957384,0.4298317636494697,0.0038982832624991155,226478
720,ConsensusRawRevIN,3,1.1929911910342224,0.010944286238558374,0.44874769362722106,0.0023534531882779776,0.4594158269906079,0.0015966051976145036,970574
720,DLinear,3,1.1932130489592032,0.010846485601672505,0.4903526045982745,0.0065537142199776745,0.5023288755215762,0.005023650532485085,485280
720,RevIN-DLinear,3,1.4027742311681832,0.006029952079622244,0.45182356511439,0.001985362856280788,0.46286642807394784,0.001250120423099684,485294
