epoch,learning_rate,train_mse,validation_mse
81,2.996906728784534e-08,0.35530169180039517,0.6781387499991651
82,2.697216055906081e-08,0.35535157157442504,0.6776560661170465
83,2.427494450315473e-08,0.35513528762855534,0.6782925322941046
84,2.1847450052839257e-08,0.35535982388415405,0.6780196414336676
85,1.9662705047555332e-08,0.3555884212370442,0.6774882807490703
86,1.7696434542799797e-08,0.35557646533687753,0.6780875935945448
87,1.5926791088519817e-08,0.3553024713405936,0.6777123539205432
88,1.4334111979667836e-08,0.35514238766687484,0.6779163330265974
89,1.2900700781701054e-08,0.35553897571125026,0.6775156064656002
90,1.161063070353095e-08,0.35529152042503165,0.6779212645753853
91,1.0449567633177854e-08,0.35523688711099743,0.6775196123379993
92,9.404610869860069e-09,0.3554659974893208,0.6779253007122886
93,8.464149782874063e-09,0.3554493726682516,0.6777915545627685
94,7.617734804586658e-09,0.35523781739003524,0.677470519659488
95,6.855961324127991e-09,0.3551973592802889,0.6774935624268643
96,6.170365191715193e-09,0.35513523177640755,0.6775085558797127
97,5.5533286725436726e-09,0.35513198473965946,0.6781791468507216
98,4.997995805289306e-09,0.3552767315552281,0.6780573123926341
99,4.498196224760375e-09,0.35527550882690956,0.6774408155703653
100,4.048376602284338e-09,0.3554480191166773,0.6776606851065577
