epoch,learning_rate,train_mse,validation_mse
1,0.0001,0.5799517614187608,0.8837425991807462
2,0.0001,0.45332337045377186,0.7608164764219058
3,0.0001,0.41447445968841157,0.7181119136283609
4,0.0001,0.3948817233778081,0.7015480403503903
5,9e-05,0.38347765207892265,0.6945108141544039
6,8.1e-05,0.3772038211712642,0.6905511900921444
7,7.290000000000001e-05,0.3730905586376641,0.6897121635881196
8,6.561e-05,0.36941531081940093,0.6856791788893519
9,5.904900000000001e-05,0.3674012489133633,0.6841528188818446
10,5.3144100000000005e-05,0.3657126486249904,0.6839298148822548
11,4.782969000000001e-05,0.3640343346912837,0.6819196397263321
12,4.304672100000001e-05,0.3633603475283994,0.6825980723347533
13,3.874204890000001e-05,0.36180171766622404,0.6822984046932774
14,3.486784401000001e-05,0.3613634081559932,0.6806837057286658
15,3.138105960900001e-05,0.3604644690771523,0.6822534770367135
16,2.824295364810001e-05,0.36002287517738996,0.6810047030622168
17,2.541865828329001e-05,0.35931415249280424,0.6801234220922365
18,2.287679245496101e-05,0.35889114408118683,0.6803692684873125
19,2.0589113209464907e-05,0.3586688072141258,0.6804145921914406
20,1.8530201888518416e-05,0.35829366055258177,0.6801640756702774
21,1.6677181699666577e-05,0.35785137345774004,0.6790905347408123
22,1.5009463529699919e-05,0.35754097532364804,0.6789334358736482
23,1.3508517176729929e-05,0.3575144807819214,0.6796345475535928
24,1.2157665459056936e-05,0.35740629003793517,0.6793909339484082
25,1.0941898913151242e-05,0.35704607953299955,0.6790572886610883
26,9.847709021836118e-06,0.35682727232694617,0.678436029353814
27,8.862938119652508e-06,0.356671744188074,0.6785720171638561
28,7.976644307687255e-06,0.3568692292392564,0.6786601870571781
29,7.178979876918531e-06,0.35636628764135225,0.6782881820325191
30,6.4610818892266776e-06,0.35636391565109016,0.6783110980020585
31,5.8149737003040096e-06,0.3558996224117233,0.678198638756866
32,5.23347633027361e-06,0.3561334048531858,0.6779010525827602
33,4.710128697246249e-06,0.35599647782512744,0.6784095218225026
34,4.239115827521624e-06,0.35572500753159575,0.6783250953352756
35,3.815204244769462e-06,0.35572580030459305,0.6782276498932018
36,3.4336838202925152e-06,0.3556616079972622,0.6780863955376178
37,3.090315438263264e-06,0.35580495842062343,0.6774530006859397
38,2.7812838944369375e-06,0.355765428465586,0.6778973884905385
39,2.503155504993244e-06,0.35564947374198036,0.6779816928761447
40,2.2528399544939195e-06,0.35580753593970815,0.6777448600853183
41,2.0275559590445276e-06,0.3554652972574019,0.6779569412078819
42,1.8248003631400751e-06,0.3550675601281103,0.6776368126743235
43,1.6423203268260676e-06,0.3552443430629241,0.6780749320739292
44,1.4780882941434609e-06,0.3554221605459199,0.677840203709752
45,1.3302794647291146e-06,0.35552499780401037,0.6779531607538591
46,1.1972515182562034e-06,0.3557035609264558,0.6774463628452742
47,1.077526366430583e-06,0.3554583344153249,0.6784703435618173
48,9.697737297875248e-07,0.3554480069902997,0.6776818024253014
49,8.727963568087723e-07,0.3555162909321502,0.6777540323173142
50,7.855167211278951e-07,0.3551518071183158,0.6781178763618609
51,7.069650490151056e-07,0.35551810878236323,0.6778826439371474
52,6.36268544113595e-07,0.3555593065126271,0.6783280325575936
53,5.726416897022355e-07,0.35543563463315186,0.6783551072874588
54,5.15377520732012e-07,0.35557307517346876,0.6780853681098786
55,4.6383976865881085e-07,0.3557780028110083,0.6777767056490179
56,4.174557917929298e-07,0.35545934488777925,0.6776519903232066
57,3.7571021261363677e-07,0.35506179266361704,0.6773483418558177
58,3.381391913522731e-07,0.35521690779754245,0.6777963431378639
59,3.043252722170458e-07,0.35499595926794175,0.6781442450938943
60,2.7389274499534124e-07,0.3551106008464794,0.6778905659320366
61,2.465034704958071e-07,0.35523520428844113,0.6780484829844191
62,2.218531234462264e-07,0.35528790207329175,0.6778504863359729
63,1.9966781110160376e-07,0.3551035813113744,0.6771494424902619
64,1.797010299914434e-07,0.35514557495687216,0.6780315891294242
65,1.6173092699229907e-07,0.3555295564368367,0.6785673757368677
66,1.4555783429306916e-07,0.355328347614092,0.6775400215717038
67,1.3100205086376224e-07,0.3555971771897537,0.6782244966449397
68,1.1790184577738603e-07,0.3552967703498927,0.6770820011733444
69,1.0611166119964742e-07,0.35536698110232684,0.6775076578588193
70,9.550049507968268e-08,0.35530920280784617,0.6775003917687895
71,8.595044557171442e-08,0.35513979288761766,0.6779669911105011
72,7.735540101454298e-08,0.3554441768252642,0.6777980243832553
73,6.961986091308869e-08,0.35535006666441543,0.6779226650914096
74,6.265787482177981e-08,0.3550750942376383,0.6775831615353095
75,5.639208733960184e-08,0.3553273740518525,0.6777459282135978
76,5.075287860564165e-08,0.35528053640534407,0.6780322434688782
77,4.567759074507749e-08,0.3554303794859822,0.6779983451369075
78,4.1109831670569744e-08,0.3554570424692891,0.6779950316954935
79,3.6998848503512764e-08,0.3552365446514734,0.677990153370489
80,3.3298963653161496e-08,0.3553961146801631,0.6776039694255872
